date,Mkt-RF,SMB,HML,RF
2014/11/1,2.55,-2.06,-3.09,0
2014/12/1,-0.06,2.49,2.27,0
2015/1/1,-3.11,-0.56,-3.58,0
2015/2/1,6.13,0.63,-1.86,0
2015/3/1,-1.12,3.04,-0.37,0
2015/4/1,0.59,-3.06,1.82,0
2015/5/1,1.36,0.93,-1.14,0
2015/6/1,-1.53,2.91,-0.79,0
2015/7/1,1.54,-4.17,-4.13,0
2015/8/1,-6.04,0.33,2.77,0
2015/9/1,-3.07,-2.62,0.56,0
2015/10/1,7.75,-1.88,-0.46,0
2015/11/1,0.56,3.6,-0.42,0
2015/12/1,-2.17,-2.84,-2.61,0.01
2016/1/1,-5.77,-3.42,2.09,0.01
2016/2/1,-0.07,0.73,-0.57,0.02
2016/3/1,6.96,0.82,1.19,0.02
2016/4/1,0.91,0.76,3.28,0.01
2016/5/1,1.78,-0.17,-1.66,0.01
2016/6/1,-0.05,0.61,-1.48,0.02
2016/7/1,3.95,2.49,-1.32,0.02
2016/8/1,0.49,1.15,3.18,0.02
2016/9/1,0.25,2.12,-1.24,0.02
2016/10/1,-2.02,-4.4,4.09,0.02
2016/11/1,4.86,5.71,8.21,0.01
2016/12/1,1.81,0.1,3.53,0.03
2017/1/1,1.94,-1.19,-2.75,0.04
2017/2/1,3.57,-2.05,-1.67,0.04
2017/3/1,0.17,1.14,-3.35,0.03
2017/4/1,1.09,0.73,-2.13,0.05
2017/5/1,1.06,-2.57,-3.78,0.06
2017/6/1,0.78,2.25,1.48,0.06
2017/7/1,1.87,-1.51,-0.31,0.07
2017/8/1,0.16,-1.67,-2.09,0.09
2017/9/1,2.51,4.47,3.14,0.09
2017/10/1,2.25,-1.94,0.2,0.09
2017/11/1,3.12,-0.55,-0.03,0.08
2017/12/1,1.06,-1.32,0.06,0.09
2018/1/1,5.57,-3.13,-1.29,0.12
2018/2/1,-3.65,0.25,-1.04,0.11
2018/3/1,-2.35,4.06,-0.21,0.11
2018/4/1,0.28,1.13,0.54,0.14
2018/5/1,2.65,5.25,-3.2,0.14
2018/6/1,0.48,1.14,-2.34,0.14
2018/7/1,3.19,-2.22,0.47,0.16
2018/8/1,3.44,1.14,-3.94,0.16
2018/9/1,0.06,-2.27,-1.7,0.15
2018/10/1,-7.68,-4.78,3.4,0.19
2018/11/1,1.69,-0.68,0.3,0.18
2018/12/1,-9.57,-2.38,-1.84,0.2
2019/1/1,8.4,2.9,-0.46,0.21
2019/2/1,3.4,2.05,-2.67,0.18
2019/3/1,1.1,-3.05,-4.17,0.19
2019/4/1,3.97,-1.74,2.15,0.21
2019/5/1,-6.94,-1.32,-2.37,0.21
2019/6/1,6.93,0.29,-0.71,0.18
2019/7/1,1.19,-1.93,0.48,0.19
2019/8/1,-2.58,-2.38,-4.78,0.16
2019/9/1,1.43,-0.96,6.75,0.18
2019/10/1,2.06,0.29,-1.91,0.16
2019/11/1,3.87,0.77,-2.02,0.12
2019/12/1,2.77,0.73,1.75,0.14
2020/1/1,-0.11,-3.11,-6.25,0.13
2020/2/1,-8.13,1.07,-3.81,0.12
2020/3/1,-13.39,-4.83,-13.87,0.13
2020/4/1,13.65,2.45,-1.33,0
2020/5/1,5.58,2.47,-4.88,0.01
2020/6/1,2.46,2.69,-2.2,0.01
2020/7/1,5.77,-2.33,-1.41,0.01
2020/8/1,7.63,-0.22,-2.97,0.01
2020/9/1,-3.63,0.02,-2.71,0.01
2020/10/1,-2.1,4.38,4.25,0.01
2020/11/1,12.47,5.8,2.09,0.01
2020/12/1,4.63,4.89,-1.51,0.01
2021/1/1,-0.03,7.36,3.01,0.01
2021/2/1,2.78,2.05,7.15,0
2021/3/1,3.08,-2.37,7.39,0
2021/4/1,4.93,-3.19,-0.95,0
2021/5/1,0.29,-0.25,7.09,0
2021/6/1,2.75,1.68,-7.87,0
2021/7/1,1.27,-3.97,-1.78,0
2021/8/1,2.91,-0.42,-0.15,0
2021/9/1,-4.37,0.71,5.08,0
2021/10/1,6.65,-2.35,-0.49,0
2021/11/1,-1.55,-1.32,-0.45,0
2021/12/1,3.1,-1.67,3.26,0.01
2022/1/1,-6.25,-5.94,12.75,0
2022/2/1,-2.29,2.19,3.08,0
2022/3/1,3.05,-1.61,-1.81,0.01
2022/4/1,-9.46,-1.39,6.17,0.01
2022/5/1,-0.34,-1.83,8.39,0.03
2022/6/1,-8.43,2.1,-5.97,0.06
2022/7/1,9.57,2.81,-4.05,0.08
2022/8/1,-3.77,1.4,0.29,0.19
2022/9/1,-9.35,-0.81,0.05,0.19
2022/10/1,7.83,0.06,8.01,0.23
2022/11/1,4.6,-3.52,1.38,0.29
2022/12/1,-6.41,-0.69,1.37,0.33
